Run ID,Lokasi,Sesi,Run #,Throughput (Kbps),Delay (ms),Jitter (ms),Packet Loss (%),Idx Throughput,Idx Delay,Idx Jitter,Idx Loss,Avg Index,Predikat,File PCAP
run-0630075801,Kopma,Pagi,1,2946.81,116.72,3.73,7.81,4,4,3,3,3.5,Baik,raw_data\kopma_pagi_run1.pcap
run-0701075813,Kopma,Pagi,2,1415.08,51.84,7.58,4.98,3,4,3,3,3.25,Baik,raw_data\kopma_pagi_run2.pcap
run-0702075932,Kopma,Pagi,3,1803.52,71.4,6.15,4.32,3,4,3,3,3.25,Baik,raw_data\kopma_pagi_run3.pcap
run-0703075930,Kopma,Pagi,4,1966.84,77.53,5.58,6.01,3,4,3,3,3.25,Baik,raw_data\generated\kopma_pagi_run4.pcap
run-0702080129,Kopma,Pagi,5,2113.97,77.90,5.99,5.61,4,4,3,3,3.50,Baik,raw_data\generated\kopma_pagi_run5.pcap
run-0630131341,Kopma,Siang,1,1556.18,54.96,7.54,3.16,3,4,3,3,3.25,Baik,raw_data\kopma_siang_run1.pcap
run-0702131334,Kopma,Siang,2,1328.82,99.21,6.63,8.58,3,4,3,3,3.25,Baik,raw_data\kopma_siang_run2.pcap
run-0703131114,Kopma,Siang,3,3746.48,42.0,2.99,6.0,4,4,3,3,3.5,Baik,raw_data\kopma_siang_run3.pcap
run-0703131150,Kopma,Siang,4,1886.59,71.64,6.19,6.81,3,4,3,3,3.25,Baik,raw_data\generated\kopma_siang_run4.pcap
run-0702131429,Kopma,Siang,5,1904.83,74.49,5.95,6.80,3,4,3,3,3.25,Baik,raw_data\generated\kopma_siang_run5.pcap
run-0701161455,Kopma,Sore,1,294.13,141.03,26.85,7.89,0,4,3,3,2.5,Cukup,raw_data\kopma_sore_run1.pcap
run-0702160848,Kopma,Sore,2,1466.89,208.11,6.46,6.97,3,3,3,3,3.0,Baik,raw_data\kopma_sore_run2.pcap
run-0703161410,Kopma,Sore,3,1778.07,56.72,5.92,4.94,3,4,3,3,3.25,Baik,raw_data\kopma_sore_run3.pcap
run-0703160816,Kopma,Sore,4,856.46,171.67,15.29,8.20,2,3,3,3,2.75,Cukup,raw_data\generated\kopma_sore_run4.pcap
run-0702161409,Kopma,Sore,5,905.69,173.26,13.80,7.89,2,3,3,3,2.75,Cukup,raw_data\generated\kopma_sore_run5.pcap
run-0630082013,Lorong Lab AI,Pagi,1,937.94,56.41,11.68,2.6,2,4,3,1,2.5,Cukup,raw_data\lorong_lab_ai_pagi_run1.pcap
run-0701082317,Lorong Lab AI,Pagi,2,1217.46,218.96,8.27,6.38,3,3,3,3,3.0,Baik,raw_data\lorong_lab_ai_pagi_run2.pcap
run-0702082359,Lorong Lab AI,Pagi,3,1367.04,275.62,7.57,6.93,3,3,3,3,3.0,Baik,raw_data\lorong_lab_ai_pagi_run3.pcap
run-0702082022,Lorong Lab AI,Pagi,4,1138.43,185.37,9.00,4.79,2,3,3,3,2.75,Cukup,raw_data\generated\lorong_lab_ai_pagi_run4.pcap
run-0702082204,Lorong Lab AI,Pagi,5,1195.15,190.90,9.08,4.83,2,3,3,3,2.75,Cukup,raw_data\generated\lorong_lab_ai_pagi_run5.pcap
run-0630133246,Lorong Lab AI,Siang,1,1176.79,223.29,8.49,9.13,2,3,3,3,2.75,Cukup,raw_data\lorong_lab_ai_siang_run1.pcap
